speaker,start,end,text
Unknown Interviewee,00;19;13;11,00;19;26;26,To get that buggy? That. Damn it! Yeah. 2 or 3. And why that it's so hard for you down the hill?
Unknown Interviewer,00;19;26;29,00;19;27;13,You know what?
Unknown Interviewee,00;19;27;13,00;19;52;16,"That you know I never got an apartment. Oh, yeah. They all made their. You know, and and apple is free. It's that flies off in. Motor style I think."
Unknown Interviewer,00;19;52;18,00;19;58;18,They just got you remember the first time the two met grandma.
Unknown Interviewee,00;19;58;21,00;20;04;05,And then dad and brother were there.
Unknown Interviewer,00;20;04;07,00;20;12;18,"And this was in Iowa, And this was in Iowa. I have an Iowa. You happen to remember how come he was in Iowa?"
Unknown Interviewee,00;20;12;21,00;20;17;24,"Well, Iowa, we had, relatives that."
Unknown Interviewer,00;20;17;24,00;20;20;21,Lived up near Fonda.
Unknown Interviewee,00;20;20;24,00;20;38;09,"And, they had been down to our place, and they didn't want his wife having her name. She wanted that motherfucker got over that, know what he did? And he was kind of upstairs. He had their own, but."
Unknown Interviewer,00;20;38;11,00;20;39;29,They were little.
Unknown Interviewee,00;20;40;02,00;21;12;29,"And mother said, yeah, I don't feeling successful. So when they went home, I went home one time. And our other place for them, while it at the wrong place over there. So if that's what they have right now, that's the name of the town. And so I went with them to the back, and that's where I met there, and you never know."
Unknown Interviewee,00;21;13;02,00;21;18;16,"And so,"
Unknown Interviewee,00;21;18;18,00;21;29;17,"Oh, wonderful. It was that was I didn't know any of the boys. I was out quite a bit of that after I got there. Yeah."
Unknown Interviewer,00;21;29;19,00;21;30;03,"So,"
Unknown Interviewee,00;21;30;05,00;21;44;28,"That I met them first, you know, and so we. And I had a farm, one of them that pulled out."
Unknown Interviewer,00;21;45;00,00;21;57;12,"It was in, I was better than ever before in a cave in the desert. Yeah, I stayed at home about them, and then I had to get real it."
Unknown Interviewee,00;21;57;18,00;22;17;15,"And now I, you know, for me, for the valley and that sort that if you to do that, that. And so you had that and that often. Eloquently what."
Unknown Interviewer,00;22;17;18,00;22;21;23,You said about me bringing it up for somebody.
Unknown Interviewee,00;22;21;25,00;22;32;24,"Who knew what I was you people I knew that, you know, I and so the next time I danced the game and if."
Unknown Interviewer,00;22;32;24,00;22;34;00,You want to help.
Unknown Interviewee,00;22;34;02,00;22;49;09,"Up, up there, I can go, all right. And that's all over. Feel bad about that? Oh, he wanted to be there. What do you know?"
Unknown Interviewee,00;22;49;12,00;22;52;06,But I like dances there.
Unknown Interviewer,00;22;52;08,00;22;53;10,I thought that was great.
Unknown Interviewee,00;22;53;10,00;22;58;06,And that's what I wanted to do. how.
Unknown Interviewer,00;22;58;06,00;23;20;28,"Long was this before you married a whole. I think we went together about a year and a half when he came out. When? What about here? About a year ago. I think that. And, And then you were married, and then you came, right? Yeah. So can."
Unknown Interviewer,00;23;21;00,00;23;24;28,"And how long were you in Spokane then, before you went to Christ?"
Unknown Interviewee,00;23;25;00,00;23;32;20,"Oh, I hope I hope you guys. Yeah. We been away. Any part will tell us a the what?"
Unknown Interviewer,00;23;32;22,00;23;41;19,The public part for sale. You ever heard of that? No. Thank you. I think about two weeks.
Unknown Interviewee,00;23;41;22,00;23;44;11,"Oh, the gift."
Unknown Interviewer,00;23;44;14,00;23;50;26,"You remember any the reason that you got married, Do you remember any of the reasons particularly why you got married?"
Unknown Interviewee,00;23;50;29,00;23;56;08,You know what it was? Yeah. Or.
Unknown Interviewer,00;23;56;11,00;24;02;10,"Or married? Quite a fellow. I got married, yeah, because they were quite."
Unknown Interviewee,00;24;02;12,00;24;18;05,Prominent ranchers back there. They sold a lot of stuff and stuff like that. They damn the man that had taken one room in that and Chicago Hollywood apartment.
Unknown Interviewer,00;24;18;08,00;24;22;27,"They fell apart. Well, they were horses. Yeah, they didn't raise them, but they."
Unknown Interviewee,00;24;22;29,00;24;30;11,Went over and they sell lots of cattle and they sell.
Unknown Interviewer,00;24;30;16,00;24;50;24,"Well, that they raise the cattle. Yeah, they raise the cattle. And so I was very quiet problem. Oh. And I very. Yeah. Well, now, what else did they raise or did they raise anything else. Oh yeah. Yeah. And they, they were far with him, I think. Yeah. Okay. Mother."
Unknown Interviewee,00;24;50;26,00;25;13;13,"That boy was left in the lake, you know, he lived in England County. Would, but right a year ago. But she's all right. I. Feel sure."
Unknown Interviewer,00;25;13;15,00;25;31;11,"She was. I thought that, if an Asian, Irish name are as Bartholomew is hired. He was angry. And what nationality were you? Well, are are you."
Unknown Interviewee,00;25;31;14,00;25;36;28,Are are are.
Unknown Interviewee,00;25;37;00,00;25;46;18,mother. All right. we have.
Unknown Interviewee,00;25;46;20,00;26;09;12,"Yeah, yeah. People. And they're people more. I they were just a of. I guess I never had a black mother. Of course. Yeah. What an error. Okay. All their."
Unknown Interviewer,00;26;09;14,00;26;13;23,"I don't know just exactly for sure, but they're pretty much."
Unknown Interviewee,00;26;13;25,00;26;19;05,I love all my. When?
Unknown Interviewer,00;26;19;07,00;26;24;21,"Well, then, what were your expectations before your marriage? What were your expectations?"
Unknown Interviewee,00;26;24;21,00;26;55;17,"Oh, I could come out and be independent. They read or drama. I already have a sectional and, sectional, and that that it sounded like you had already recorded you at the blackboard work very much know. But when they come back there. Oh, no, but they do want us doing and working for us at that point. Right. And we did it for a week and a half."
Unknown Interviewee,00;26;55;19,00;26;57;17,I did get the dog and.
Unknown Interviewer,00;26;57;20,00;27;15;15,"I didn't pan out quite as easy as you thought. Well, you see, there was no well on place. But when we done that, well, we get well. We have about 6 or 8 months after we were there. This is that correct? Yeah. But can hold."
Unknown Interviewee,00;27;15;18,00;27;22;23,Out for us and we've got to find out what it was that
Unknown Interviewer,00;27;22;25,00;27;23;27,"And, you know, it took."
Unknown Interviewee,00;27;23;27,00;27;38;28,"Them a long time to see that this thing that, you know, Earth and the rest was solid from. And it was 116in. You look ahead and."
Unknown Interviewer,00;27;39;03,00;27;44;14,"You know and you know, how did he go? Well, I don't know. Well, I have."
Unknown Interviewee,00;27;44;14,00;27;49;14,"A friend set up all that. Oh, no. They were."
Unknown Interviewer,00;27;49;16,00;27;50;15,2 or 3 men.
Unknown Interviewee,00;27;50;15,00;28;01;28,"Out there on that and, you know, and then and they have gray, what do they call say that. Oh, that's what they call."
Unknown Interviewer,00;28;02;00,00;28;17;15,"That great big block. And they're up there fall and about that big around and and they, it's, very, very worth it. Very put us down there."
