speaker,start,end,text
Vicki Mitchell,00;23;37;19,00;23;51;03,"For the hot weather, man. How long you live here? I am. Well, why do you think you."
Unknown Interviewer,00;23;51;05,00;24;15;15,"For instance. Oh, I hate to bring this up into the conversation. Okay. You, for instance, I know of a person that she didn't know what you are, and she didn't know what she looked like. Married to the air. She wanted you here to get out. Really? What she wanted for. She decided she wanted a divorce, but she wasn't for sure."
Unknown Interviewer,00;24;15;15,00;24;37;09,"Right. You know, well, in a case like this. Because I don't know anything about right now. You know what? I don't understand what you're really talking about. But in a case like this, if she went ahead and wrote up Brown divorce, well, then they would. This couple with the divorce not long after work, two months to two months, she ran around without her kids move out of their home."
Unknown Interviewer,00;24;37;09,00;25;04;20,"I want to decide who I am now or who how they were still married. The husband told them that you know, or took her back. I should say. Well, but I mean, you know, I just want to make a quick decision right into it. Yeah, yeah, well, you can get everything right and then get married, right? But, I think what you do is you just write up all the legal things."
Bonnie Nellsch,00;25;04;22,00;25;10;12,"All right? It's difficult that you put up between a circuit, before circuit judge or something."
Unknown Interviewer,00;25;10;15,00;25;34;18,"And then you have to wait for the 22 days or whatever. Right. It's all right. I just I just feel like, if you really want a divorce, right? I definitely wanted a divorce. It would have been great. But for somebody that that is. Well, I think I do. I think I want to work around. No, I don't want to."
Unknown Interviewer,00;25;34;21,00;25;35;25,Or this particular lawyer.
Bonnie Nellsch,00;25;35;25,00;25;54;21,"I'm talking about. Or she says she talks with the people first and she just they don't rest right in anything. I think they in fact, a lot of times, she said, they'll suggest the marriage counselor, everything else before that, even right up there on the board. The only thing that she said that she's trying to accomplish is to get the people."
Unknown Interviewer,00;25;54;23,00;25;55;27,From.
Bonnie Nellsch,00;25;55;29,00;26;11;06,"Supporting these high class lawyers that are really putting the money in their pocket. Yeah, you know, 600, anywhere from 600 to several thousand dollars for a divorce, which they could right now, their their."
Unknown Interviewer,00;26;11;09,00;26;39;05,"Okay. How did you meet your, Husband who was stationed in Okinawa. And my started writing to him. They were to start writing for to, my girlfriend was going with the guy from around here. they bill and Bob were friends in Okinawa. but. Yeah. So you and I were friends, and Bill was writing and printing at the time, and I was."
Unknown Interviewer,00;26;39;05,00;27;05;12,"I remember going to anybody at the time I was going to start writing. You and then but he he got sent to Vietnam and we wrote for quite a while. We got a whole lot their time together. We came up where you interested really interested in. And just from writing the writers, or was it just you were to meet this person?"
Unknown Interviewer,00;27;05;15,00;27;27;17,"Well, when I started. Right. You were even at we wrote, for quite a while, and then I was in Korea and, yeah, I met Bill one. Of course, I never thought I never really need to come up. You can't tell me you would go. I never really would come here. I've never been your office where I, you know, anybody ever."
Unknown Interviewer,00;27;27;17,00;27;58;05,"You know, you probably Bob would have been home at that particular time. Frank. So I never really believed he was coming back. Then I got married and he's going government back to Vietnam. Then right away, I knew my marriage wasn't going to work for the divorce. And so I started writing her to the same girlfriend he wrote. I told him that I was getting a divorce, and he said, that you'd like to start writing to me again, but he'd never write for Slam."
Unknown Interviewer,00;27;59;01,00;28;23;16,"so I started writing to him. And every time you get a ring, you come back. Well, by that time I was have. I had Terry and I was living in my apartment and would come up and stay with me. And then I got pregnant and which we were planning to get married anyway, so we just got married a bit sooner this year."
Unknown Interviewer,00;28;23;19,00;28;44;22,"He wanted to wait. I got I would still have about three months left in. We wanted to wait until after about two months before we got pregnant. If you come looking for you, we got married. We've gone out. And you know what? I was down there for about a year and what happened? I got particular character in California."
Unknown Interviewer,00;28;44;24,00;29;10;16,"I didn't like it at all. Oh, I love it here. I married, pregnant with our. And I didn't like working a long time ago. I mean, just, I love the air. I really, when really like it here, you know, like, how long are you like I am, I like, I don't I don't need you guys here. Of course I know, I know, I know can't, but I, I really like this area."
Unknown Interviewer,00;29;10;19,00;29;18;17,"I have. Yes I like the individual, 1 to 1. What was. Yeah."
Vicki Mitchell,00;29;18;20,00;29;28;05,Yeah. Well yeah I forgot that one. You know. Why are you from.
Unknown Interviewer,00;29;28;07,00;29;32;26,"I'm here, I tell you what. Have you met your husband? Oh."
Bonnie Nellsch,00;29;35;01,00;30;05;29,"my sister was writing to her husband. She was also writing my husband. That. But she, was wasn't really interested in my husband. She was interested in this guy that I do now. And, I just got out of the Navy, and, I didn't have anything much to do, and so I found a job, and so I, she suggested that I start writing to him because she wasn't going to write to him anymore."
Bonnie Nellsch,00;30;06;01,00;30;12;03,So I started writing to him. And he was in Vietnam at the time.
Bonnie Nellsch,00;30;12;05,00;30;26;06,"But, I had known him before."
Unknown Interviewer,00;30;26;08,00;30;36;16,"And, you know, I felt like he could walk on the street from here. I, I haven't not the town. Oh, no. Now I hear down on Sunnyside."
Bonnie Nellsch,00;30;36;16,00;31;00;26,"He put her like that road in our town, but good. main part of town up there. When you, there's the intersection up there, and then you head down toward the YMCA. That that area is getting real rough anymore, and I wouldn't walk through there. There's a lot of hippies in, and, Well, I don't know, we call them hippies, but they're long hair and dopers and, I think bad area to walk around."
Bonnie Nellsch,00;31;00;26,00;31;03;15,I wouldn't walk through there at night by myself.
Unknown Interviewer,00;31;03;18,00;31;30;00,"Why did you have a beer? You could walk around for? Well, for instance, my mother and I would come home one the. And, there was a group of boys or girls from eight into that 25 years old stripper in a car, and she didn't dare stop and say anything because she's glad to have had her car stripped right down to."
Unknown Interviewer,00;31;30;02,00;31;55;20,"Is that graffiti that there was, you know, going around stripping cars that they could get off what they could used. And, The people are so different. They're just people are a small town, are a lot friendlier. You're neighbors in a big town. You're right. Your next door neighbor, you don't speak to your. You speak directly to your or ignore you or."
Bonnie Nellsch,00;31;55;22,00;32;02;15,"Oh, I think they go in that car and so on. Somebody was on the phone and call because would have been right there, you know. Oh yeah."
Unknown Interviewer,00;32;02;15,00;32;28;15,"Where I so it sounds like nobody wanted to interfere. We want to get involved. Nobody wanted to get involved. You just don't. Do you have the police around here? I think so, I think sometimes we do. I think sometimes we don't. I had a prowler up one day. One night, scared there. And I heard something outside. It was him, and late at night."
Unknown Interviewer,00;32;28;18,00;32;49;28,"And I opened up my curtains and he was scaring them. And I was just him. And it scared me to death. I would think that something was out there. And my husband says, oh, you're always hearing stuff. And I said, oh, no. And I described what the guy was like. And so he put on his clothes and ran outside, and it had been raining where you see where the guy had been."
Unknown Interviewer,00;32;49;29,00;33;13;27,"He kept working with them. When it's cold. And I called the police and they were right down here, right down here. But then, something else happened and they never showed up at all. And so I oftentimes I spoke right around the house or something. I don't know, sometimes they're right there in front of them. I don't know."
Unknown Interviewer,00;33;13;27,00;33;22;26,I think I got them because they're in somebody's.
Unknown Interviewer,00;33;22;28,00;33;29;18,"Home. I'm not sure that would be perfect for I don't care. So, yeah, I had."
Bonnie Nellsch,00;33;29;18,00;33;44;02,"A problem, too. It wasn't. It wasn't right at my house. I happened to be putting my kids to bed, and I was upstairs, and I had to look out, and this guy walked in front of the house, and then he walked into the back of the house. The only thing in the back of my house is the neighbors little house."
Bonnie Nellsch,00;33;44;03,00;34;03;09,"They went out only wasn't being rented out at the time. So I watched this character and I went to the other side of the house and looked out my bedroom window, and he was. He, let himself walk into the back of the house back there. And so I went ahead and call the police, but they were right out there, and they got him, cornered him underneath the bed in that house."
Bonnie Nellsch,00;34;03;12,00;34;04;26,Your car.
Unknown Interviewer,00;34;04;29,00;34;25;26,"I know I never I felt safer living in Tennessee when I was in town three times over here for. You heard it. You and everybody, of course, was scared for your and for maybe a stuff like that. What has been going on when I was down here on the road for guilty and you know, if you to go, go back."
Unknown Interviewer,00;34;25;27,00;34;28;04,You're for Boston.
Bonnie Nellsch,00;34;28;04,00;34;32;12,"Strangler. You go, no."
Unknown Interviewer,00;34;32;14,00;35;02;06,"Know. Oh for man, that was a big thing when I was down there at that one radio station and he called to that one guy who was, a criminal lawyer, I believe, or was the only guy to go to that killer because he would be careful not a farmer. And down there he would say things like, oh, he didn't like to kill people like you get real bad headaches and I was with young people."
Unknown Interviewer,00;35;02;09,00;35;12;22,"He said. Next bits of work that all the little kids bouncing off the school back, you know, when I saw you."
Bonnie Nellsch,00;35;12;22,00;35;14;09,Refreshing a little pocket here.
Unknown Interviewer,00;35;14;12,00;35;45;10,"Where did they catch him? No, we all just quit. Clear. we haven't heard anything more, you know, like the Boston Strangler. Yeah. Yeah. Oh, I don't have anything good to catch. Yeah. how is your family life now? And compared with what it was when your father. Oh."
Bonnie Nellsch,00;35;45;13,00;35;50;08,I'd say calmer. What time? I know.
Bonnie Nellsch,00;35;53;02,00;35;59;13,My dad had quite a temper. That's why I said calmer.
Bonnie Nellsch,00;35;59;15,00;36;00;23,That's the only reason I think.
Unknown Interviewer,00;36;00;23,00;36;28;16,"Calm, I heard, can't compare it because when I was growing up, the cost of living or the value of money. I mean, we felt it, but not right to feel it. When you're in your own home, with your own family and worrying about your own health, I don't. I know I can't compare it. When you were young at home, I was still in school."
Unknown Interviewer,00;36;28;19,00;36;55;23,"And finally we were. In fact, we're passing a test for who I was going to be going out with her right now. That's not at all your thoughts. Your thoughts were more about, you get your calls for school, for your parents and. Your thoughts are so different. I, I can't really compare it to. What do you do for recreation in your career?"
Unknown Interviewer,00;36;55;26,00;37;00;06,When I was growing up.
Unknown Interviewer,00;37;00;09,00;37;02;19,I can't read a lot on.
Bonnie Nellsch,00;37;02;24,00;37;04;18,"All right, you didn't I your."
Unknown Interviewer,00;37;04;18,00;37;38;07,"I was an interactive environment. I would have an awful. I I'm not a boyfriend. That was my her preferred I don't know I couldn't have not been what she wrote letters. Although I wrote that girl so much. Yeah. I wrote, you know and I was 16. I just turned 16 after. Remote control two about three years every month."
Unknown Interviewer,00;37;38;07,00;37;44;28,"Right. For prom. And they didn't go out. I don't know, that was your main concern."
