speaker,start,end,text
Unknown Interviewee,00;03;01;21,00;03;13;26,"Mean name. My mother's name was, Mildred Cowden."
Unknown Interviewer,00;03;14;07,00;03;18;11,Jean remembers occasion and job.
Unknown Interviewee,00;03;18;13,00;03;20;16,She just was a housewife.
Unknown Interviewer,00;03;20;19,00;03;23;23,Yeah. Not for.
Unknown Interviewee,00;03;23;26,00;03;29;17,You and I. Good for us.
Unknown Interviewer,00;03;29;19,00;03;35;02,"And date of birth? My mother. Yeah, I don't know. My mom would have given birth place."
Unknown Interviewee,00;03;35;04,00;03;37;15,"And I'm, like, with my Bible."
Unknown Interviewer,00;03;37;20,00;03;47;09,I hope you put it on that.
Unknown Interviewee,00;03;48;07,00;04;03;13,"her name was Mildred Calvin. Into born it and and look cool, too. Angelic was coming up December 1st, 1891."
Unknown Interviewer,00;04;03;15,00;04;07;23,You are date of death. Or is she still alive?
Unknown Interviewee,00;04;07;29,00;04;13;21,"No, she died August 21st, 1955."
Unknown Interviewer,00;04;13;24,00;04;19;11,"Well, I like time ago. You're Mary, you know that?"
Unknown Interviewee,00;04;19;13,00;04;20;17,My mother. Yeah.
Unknown Interviewer,00;04;20;22,00;04;26;25,"No, I don't know. Okay? I how about you? Did you?"
Unknown Interviewee,00;04;26;28,00;04;42;14,"Well, you know, I don't really know what my dad, And I know what his birth date is and stuff, but I don't know what his parents, you know, what? Their birth date or anything."
Unknown Interviewer,00;04;43;01,00;04;47;17,"well, just your dad's birthday in place."
Unknown Interviewee,00;04;47;20,00;04;54;14,"Well, my their birth date was May 15th, 1891."
Unknown Interviewee,00;04;54;17,00;04;59;26,"And, I don't know, it isn't a state where he was born at. You know, my dad's folks came from Germany."
Unknown Interviewer,00;04;59;29,00;05;00;26,"Oh, really?"
Unknown Interviewee,00;05;00;26,00;05;01;24,And he was.
Unknown Interviewer,00;05;01;25,00;05;03;13,In a region in. Oh.
Unknown Interviewee,00;05;03;15,00;05;13;01,"I don't know if, he was born in the country or in Germany. I really don't know, because my dad said to."
Unknown Interviewer,00;05;13;02,00;05;16;00,"Him, yeah. Oh, well, what was his first name?"
Unknown Interviewee,00;05;16;02,00;05;20;22,Herbert. Mark.
Unknown Interviewer,00;05;20;24,00;05;23;26,"I think that Mark would be were French, but I."
Unknown Interviewee,00;05;23;26,00;05;31;15,"Mean, it is that is French. And he. But I'll tell you, that really isn't a name. But that's the name that we've always meant by."
Unknown Interviewer,00;05;31;17,00;05;32;17,Their name.
Unknown Interviewee,00;05;32;20,00;05;42;09,Was m a r q u e r d t. But when they came to.
Unknown Interviewee,00;05;42;12,00;05;54;25,"To. The United States, I guess the girls in his family like my my dad's sisters, you know, they didn't like the sound of that name."
Unknown Interviewer,00;05;54;28,00;05;57;03,So these were some German.
Unknown Interviewee,00;05;57;05,00;06;13;25,"I don't know, they just started Belmont Market so that we did on our birth certificates and everything. So that but actually the spelling of that name should be 2URD2G. And then it would be Margaret in three."
Unknown Interviewer,00;06;13;28,00;06;20;21,Yeah. Oh well. Oh. What do you do for a job. Practically.
Unknown Interviewee,00;06;20;24,00;06;31;16,"Well, after he was out here. Well, my dad was a farmer at one time. And then he worked on the railroad for."
Unknown Interviewer,00;06;31;18,00;06;32;23,The in Idaho that he.
Unknown Interviewee,00;06;32;23,00;06;38;24,"Ran in the railroad Milwaukee Road. He worked for,"
Unknown Interviewer,00;06;38;27,00;06;47;00,That the one that had the. If you turn off bridge on the way here and 95.
Unknown Interviewee,00;06;47;02,00;07;05;24,"Oh, you mean coming from Moscow? No. That train goes up through Avery Milwaukee Road. It was an hour walk. It was? Yeah. It's still there. Still running. my mom used to come back east all the time when I still lived back there on that train. And you can come to Milwaukee, Wisconsin."
Unknown Interviewer,00;07;05;24,00;07;07;27,So you're here throughout your career?
Unknown Interviewee,00;07;07;29,00;07;08;29,Yeah.
Unknown Interviewer,00;07;09;02,00;07;15;21,"Yeah. Okay. Siblings, sisters and brothers, mine. Yeah."
Unknown Interviewee,00;07;15;23,00;07;28;02,"Oh, boy. I have well, my older sister name was Betty."
Unknown Interviewee,00;07;28;04,00;07;31;02,"And her last name, do you want or just."
Unknown Interviewer,00;07;31;04,00;07;34;12,"Yeah, she's married now."
Unknown Interviewee,00;07;34;14,00;07;44;18,More. Yeah. And she's been married. Her husband said you. Her name was been.
Unknown Interviewee,00;07;44;21,00;07;53;10,Growing in my neck. Told me. Next oldest one is my brother. Are are in court.
Unknown Interviewer,00;07;53;12,00;07;58;26,"Kid who? And,"
Unknown Interviewee,00;07;58;29,00;08;03;26,My sister Annie. Your name is Smith.
Unknown Interviewer,00;08;03;28,00;08;07;16,Or the mine is going to be hard remembered. Mine is a family.
Unknown Interviewee,00;08;07;19,00;08;15;14,"And then I'm next. And, you know."
Unknown Interviewer,00;08;15;24,00;08;17;29,you put you down.
Unknown Interviewee,00;08;18;19,00;08;26;03,"then my sister Pearl, I mean, with Pearl craft."
Unknown Interviewee,00;08;26;05,00;08;29;24,You know.
Unknown Interviewee,00;08;29;27,00;08;32;15,And the twin.
Unknown Interviewer,00;08;32;18,00;08;34;01,"Oh, you have twin."
Unknown Interviewee,00;08;34;07,00;08;34;18,Brother.
Unknown Interviewer,00;08;34;18,00;08;36;29,Brother.
Unknown Interviewee,00;08;37;02,00;08;44;00,"And there is Herbert is one year and one, and Maynard."
Unknown Interviewee,00;08;44;03,00;08;50;17,"His name is Maynard. And my killing mark here, though. Stuff that was great sounding name."
Unknown Interviewer,00;08;50;20,00;09;01;17,"Isn't it? It is like, you know, you don't forget your. Did you put behind the tyranny of a coat?"
Unknown Interviewer,00;09;01;20,00;09;04;07,"And,"
Unknown Interviewee,00;09;04;09,00;09;13;17,Then is my sister Mildred.
Unknown Interviewee,00;09;13;20,00;09;18;06,And me and my brother Jean.
Unknown Interviewer,00;09;18;09,00;09;30;04,123456. Seven. Eight. Yeah. So let me only have five children. Thank you. Sweetie. Jean. Okay. Now you.
Unknown Interviewer,00;09;30;07,00;09;37;27,"In. Oh, spouses and children, though. Jerome. It is little."
Unknown Interviewee,00;09;38;00,00;09;43;19,Raymond.
Unknown Interviewer,00;09;43;21,00;09;46;00,Date of birth.
Unknown Interviewee,00;09;46;02,00;09;53;20,May 2010. Okay. Wow.
Unknown Interviewee,00;09;53;23,00;10;00;07,Application of the paint Frederick is a retired.
Unknown Interviewer,00;10;00;09,00;10;17;18,Yeah. He. He work in the. You know.
Unknown Interviewer,00;10;17;20,00;10;23;17,Oh. Place of birth. You born in person? Yeah. He was born in a.
Unknown Interviewee,00;10;23;17,00;10;29;28,Landmark with family in the air. Okay.
Unknown Interviewer,00;10;30;00,00;10;39;01,"Oh, good. Thank you. Is."
Unknown Interviewer,00;10;39;04,00;10;42;28,"David, face me too. Well, we."
Unknown Interviewee,00;10;42;28,00;10;46;29,"Were married in mountain, Michigan."
Unknown Interviewer,00;10;47;01,00;10;51;23,"Oh, yeah? Where are you? There."
Unknown Interviewee,00;10;51;26,00;11;09;28,"We went there. It was very far from, you know, it's like gone over into Washington, over and so, May and May, August 13th."
Unknown Interviewee,00;11;10;00,00;11;14;11,And 1934. Oh.
Unknown Interviewer,00;11;14;13,00;11;22;05,"Okay. No children and date a place of birth and their occupation. So, first, the fairness."
Unknown Interviewee,00;11;22;08,00;11;23;15,"Index, the all."
Unknown Interviewer,00;11;23;17,00;11;52;08,"Oh, yeah. Oh, I can feel this. I know. And he was born Wisconsin. Yeah. No, I had a beard. Oh, here."
Unknown Interviewer,00;11;52;10,00;12;03;20,"Oh, you, you know, like last night, I read what these are. Unless these are hard to drink out of."
Unknown Interviewer,00;12;03;22,00;12;21;26,"Oh, well."
Unknown Interviewee,00;12;21;28,00;12;25;19,"I like to drink in, like, good black."
Unknown Interviewer,00;12;25;21,00;12;28;22,Oh. 15 days. Yeah.
Unknown Interviewee,00;12;28;22,00;12;32;20,"One time, my little grand. One week last week."
Unknown Interviewer,00;12;32;21,00;12;40;04,"You know. Oh, yeah. So."
Unknown Interviewer,00;12;40;07,00;12;48;18,Obviously in.
Unknown Interviewer,00;12;48;20,00;13;00;14,"This is still in Cleveland. You know that? Yeah. When are you coming back I don't know, I think right now I know what time we're cooking. Oh."
Unknown Interviewee,00;13;00;16,00;13;10;08,"I do maybe, you know, one day when I come to work over, I must have done right here by bye. I mean."
Unknown Interviewer,00;13;10;10,00;13;12;29,"We're right here, and I talk."
Unknown Interviewee,00;13;13;01,00;13;27;08,"Okay. Well, I wonder lately where they're from, I don't know, I on them or not. You know, he was gone from here, but I mean, I don't know, he had gone whole ham."
Unknown Interviewer,00;13;27;10,00;13;28;21,And I still out there when.
Unknown Interviewee,00;13;28;23,00;13;48;19,"Right when we were on our way to work. And then I thought, well, now she has her off. She'll come back here, do. But she never did come back over there and but then Robert still here. Some humidity. Just been around there some week or two. She came home. She was with him."
Unknown Interviewer,00;13;48;22,00;13;51;21,Yeah.
Unknown Interviewer,00;13;51;24,00;13;57;01,"Okay, well, see this Jack. And he was born when."
Unknown Interviewee,00;13;57;03,00;14;12;14,"He was born March 22nd, 1939, in black for."
Unknown Interviewer,00;14;12;16,00;14;14;05,You were the TV. Well.
Unknown Interviewee,00;14;14;28,00;14;17;17,"when you work for the railroad, no."
Unknown Interviewer,00;14;17;20,00;14;18;27,Matter what you line.
Unknown Interviewee,00;14;18;29,00;14;22;24,"No, I'm prepared."
Unknown Interviewer,00;14;26;21,00;14;31;07,I don't to.
Unknown Interviewee,00;14;31;10,00;14;35;19,I don't know what his title is. I.
Unknown Interviewee,00;14;35;21,00;14;45;13,Need to go from what did the railroad. I don't know if they come.
Unknown Interviewer,00;14;45;15,00;14;47;19,Okay. And then. Then change.
Unknown Interviewee,00;14;47;19,00;14;51;27,Jim.
Unknown Interviewee,00;14;51;29,00;14;57;12,"And she was born February 18th, 1930."
Unknown Interviewer,00;14;57;12,00;14;59;27,Eight. Hope. My birth. And typically.
Unknown Interviewee,00;14;59;27,00;15;01;27,She was born in.
Unknown Interviewer,00;15;01;29,00;15;06;16,1930
Unknown Interviewer,00;15;08;00,00;15;09;27,You didn't were moving near. You live here?
Unknown Interviewee,00;15;09;29,00;15;14;24,"Yeah, right in the attic. There we."
Unknown Interviewer,00;15;14;24,00;15;23;07,"Go. And Jim is your name. I'll put that down as recitation. well, she did they sing too?"
Unknown Interviewee,00;15;23;08,00;15;24;12,Yeah.
Unknown Interviewer,00;15;24;14,00;15;30;15,"But, they care. And then."
Unknown Interviewee,00;15;30;17,00;15;35;20,"But then, Jim."
Unknown Interviewer,00;15;35;22,00;15;37;22,He was born.
Unknown Interviewee,00;15;37;24,00;15;49;18,"He was born on October 22nd, 1941. He was born at, Leon."
Unknown Interviewer,00;15;49;20,00;15;50;29,In Winnipeg.
Unknown Interviewee,00;15;50;29,00;15;59;25,And moved from pewter technician.
Unknown Interviewer,00;15;59;27,00;16;01;07,To then.
Unknown Interviewee,00;16;01;09,00;16;11;02,To tune. His first born May in 43 to 44. And and we always.
Unknown Interviewer,00;16;11;02,00;16;13;06,Come and go.
Unknown Interviewee,00;16;13;08,00;16;23;24,And yeah. He'll.
Unknown Interviewer,00;16;23;26,00;16;30;25,In but if you do you could you could work. Well she have a good clock.
Unknown Interviewee,00;16;30;26,00;16;32;05,Yeah.
Unknown Interviewer,00;16;32;07,00;16;54;03,The one around the body. Oh I see and that's it is for in the prisoner information education. You went to school counseling.
Unknown Interviewer,00;16;54;05,00;16;56;28,In school.
Unknown Interviewee,00;16;57;00,00;16;59;22,I don't remember him. Oh.
Unknown Interviewer,00;16;59;24,00;17;00;08,Yeah.
Unknown Interviewee,00;17;00;08,00;17;08;00,"Let's go, I don't know. Well, I guess it was the, company. Sure. What? I in called."
Unknown Interviewer,00;17;08;02,00;17;08;21,Two.
Unknown Interviewee,00;17;08;23,00;17;09;14,Silk.
Unknown Interviewer,00;17;09;16,00;17;10;08,"Oh, silk."
Unknown Interviewee,00;17;10;08,00;17;17;06,"Oh, yeah. They can't stop. Thank her for the crib."
Unknown Interviewee,00;17;17;08,00;17;24;20,I have worked from different jobs as waitress. Who did clerk.
Unknown Interviewer,00;17;24;23,00;17;31;02,There. You gotta know how people gets cleared.
Unknown Interviewer,00;17;31;04,00;17;33;19,What else could be done?
Unknown Interviewee,00;17;33;21,00;17;36;24,Put waitress. Yeah. Short order. Cook.
Unknown Interviewer,00;17;36;27,00;17;45;07,Too good to see. Did you?
Unknown Interviewee,00;17;45;09,00;17;53;12,Found any job thing? Work and what do I pick? Potatoes. Many years ago. Oh.
Unknown Interviewer,00;17;53;14,00;18;01;09,Where were you living then? We've gone. Oh. I'll make more money. Do you.
Unknown Interviewee,00;18;01;12,00;18;01;27,Ever did.
Unknown Interviewer,00;18;01;27,00;18;05;23,Anything? You know anything down there?
Unknown Interviewee,00;18;05;26,00;18;21;14,"I work one time, six weeks. I made $510, so that was pretty good. And that was many years ago, you know? Yeah. Like, but I don't like to 45. First of all, that was good money to be."
Unknown Interviewer,00;18;21;17,00;18;56;05,"A good money. Now occupation jobs held well all the way up the here because what you say, what you did with your occupation. Well, yeah. Look finishers so. They're getting bored with this for. Oh. Let's see interested parties in town folk. You can really see interest band them. club group society."
Unknown Interviewee,00;18;56;07,00;19;08;00,"Well, I don't want any. I want to fly to royal neighbors at one time. And we're royal neighbors down here."
Unknown Interviewer,00;19;08;03,00;19;10;17,"Oh, that's the big yellow building."
Unknown Interviewee,00;19;10;20,00;19;17;04,"You can it. Well, we I when I went, we used to meet up over the big store. But then they broke down more. They their meetings."
Unknown Interviewer,00;19;17;04,00;19;22;01,Now you tell me about that. About you used to work in that hotel.
Unknown Interviewee,00;19;22;03,00;19;22;24,Yeah.
Unknown Interviewer,00;19;22;26,00;19;24;16,"Oh, that way you were way too."
Unknown Interviewee,00;19;24;19,00;19;25;05,Damn.
Unknown Interviewer,00;19;25;07,00;19;28;18,Funny.
Unknown Interviewer,00;19;28;21,00;19;33;26,Good for awards and and ribbon. I don't know who made this for.
Unknown Interviewee,00;19;33;28,00;19;37;07,Well.
Unknown Interviewer,00;19;39;08,00;20;04;17,"Very good. I have to go. I have to think of Christ. Okay. Oh, you could tell it was my first one. remembering your childhood. Do you, girl, do you feel you any differently than you? Better. No. Did you feel you both had more opportunities than you?"
Unknown Interviewee,00;20;04;20,00;20;08;21,"Well, not. No. They. You."
Unknown Interviewer,00;20;11;23,00;20;16;06,do you see families now as different or similar from your.
Unknown Interviewee,00;20;16;08,00;20;19;07,"Well, they're much different. I would say it."
Unknown Interviewer,00;20;19;09,00;20;20;20,"Yeah, because it's smaller."
Unknown Interviewee,00;20;20;25,00;20;32;06,"And a lot smaller. And. Well, I just there was no no television, no radio. You entertain yourself. You, you know."
Unknown Interviewer,00;20;32;09,00;20;37;12,If you're.
Unknown Interviewer,00;20;37;14,00;20;45;29,Afraid you'll have more to go with. Did you do did you work Katie Keller? Yeah. Right down the.
Unknown Interviewee,00;20;45;29,00;21;19;23,"Road. Right. Yeah. we work harder than the kids do. Not too. We have to get out working and garden and pick wild berries and in Wisconsin, I was using the wild berry. I used to go out to picnic tables and pails, raspberries, blueberry berry. That was one thing that was going to come back. Oh my gosh, you could pick up."
Unknown Interviewee,00;21;19;26,00;21;38;20,"Well, when I was a kid, I used to walk about ten miles down the road to pick to make water for the raspberries and bring them back to town. And, oh, you are a pale. Oh, and imagine paying a dollar for a tin or pail of berries."
Unknown Interviewer,00;21;38;22,00;21;46;00,"I, I charge that $10. Yeah, they will when they buy your I know the lingo and what."
Unknown Interviewee,00;21;46;03,00;21;48;05,To charge the huckleberry per gallon.
Unknown Interviewer,00;21;48;07,00;21;49;16,"So which is it, you know."
Unknown Interviewee,00;21;49;23,00;22;00;16,"Well, now, last year I believe they were, for, like seven and $8 a gallon, I have one, yeah."
Unknown Interviewer,00;22;02;03,00;22;08;10,"did you, did you like it when you needed it for yourself more than watching TV?"
Unknown Interviewee,00;22;08;13,00;22;13;09,"Well, I guess we did at that time because there weren't any. Remember anything out."
Unknown Interviewer,00;22;13;11,00;22;13;21,There.
Unknown Interviewee,00;22;13;26,00;22;21;28,In Chicago where he was right glad if you could get the gold plans that happen. They do offer.
Unknown Interviewer,00;22;22;01,00;22;35;05,"In the olden days, they had to, make their own toys for any college kids. What? What sort of social class did you see?"
Unknown Interviewee,00;22;35;05,00;22;40;19,Something poor.
Unknown Interviewer,00;22;40;22,00;22;49;25,Did you think you paid well? I can't think of my own questions. Have to be the. Did you think you were discriminated against because of that? Yeah. Everyone.
Unknown Interviewee,00;22;49;27,00;22;57;17,"Well. Or most of them more. But the few that did have something, they were they treated you like you were dirt."
Unknown Interviewer,00;22;57;19,00;23;01;21,And all of these were like potatoes were my two three. But he treats you the same.
Unknown Interviewee,00;23;01;21,00;23;16;17,"He a long time ago. No. People used to be so much different than they are now. Anybody. They have no company. Anybody here work where you work to clean family. Well you weren't I mean, you had open, but I mean, you just didn't have money."
Unknown Interviewer,00;23;16;20,00;23;26;17,You have nine people. Yeah. I think there's an over two times. And it was just that.
Unknown Interviewee,00;23;26;19,00;23;32;17,And I do think it was different that way. I do think that now people are a lot more different. I mean.
Unknown Interviewer,00;23;32;19,00;23;36;28,Also I think from you like it more now.
Unknown Interviewee,00;23;37;00,00;23;41;19,"I think people are better and I, I mean, I think they treat."
Unknown Interviewer,00;23;41;25,00;23;55;13,"People better than young people or never see compared to, you know, even though they wouldn't have to show on TV and you have I don't know how accurate those are."
Unknown Interviewee,00;23;55;15,00;24;03;09,"But, people are treated more equal than you to me."
Unknown Interviewer,00;24;03;11,00;24;06;00,"It's no difference to people anyway, I don't think."
Unknown Interviewee,00;24;06;00,00;24;11;03,"No, no, really. But there are a lot of people that do things. Yeah."
Unknown Interviewer,00;24;11;06,00;24;16;28,"Yeah. Well, let's see. How long did you know, general, before you got married? oh."
Unknown Interviewee,00;24;17;00,00;24;22;26,"I don't know, probably about a year. So."
Unknown Interviewer,00;24;22;28,00;24;27;16,On what basis did you decide to get married?
Unknown Interviewee,00;24;27;18,00;24;30;11,Took over a woman to get married again.
Unknown Interviewer,00;24;30;13,00;24;37;27,"For reasons, for. Oh. Did you have a fun courtship?"
Unknown Interviewee,00;24;38;00,00;24;42;13,"I think everybody does. You think you,"
Unknown Interviewer,00;24;42;15,00;24;57;21,"Oh. Really strange that some of the presentations you're giving today, the women that two that they married out of necessity. That wasn't very much fun. Oh,"
Unknown Interviewer,00;24;57;23,00;25;13;19,"Well, you daddy, they're already grown up. What did you what did you, expect for them when they grew up? Did you have any designs that you had? There would be likely or only."
Unknown Interviewee,00;25;13;21,00;25;18;01,"Well, yes. Not really."
Unknown Interviewer,00;25;18;04,00;25;24;11,Only 20 hours. Yeah. 24.
Unknown Interviewee,00;25;24;13,00;25;41;11,"Oh, my dear friend. And I don't think you can live anybody else's life for them, even if you would like to. I don't think you could. I mean, you might wish you kids would do different or."
Unknown Interviewer,00;25;41;13,00;25;48;18,That's a good view. It might have something to do. Some part of the reason why they're still around.
Unknown Interviewee,00;25;48;21,00;25;56;27,But I think it it can help let them make up their own mind and.
Unknown Interviewer,00;25;57;00,00;26;17;03,"See we're just big. I should do the freezing cape, but what do we drag you there? Just sick visiting our parents. You know, my parents are pretty much okay. They've kind of let off on me, but for now, I just parent 25 and they're still trying to come through in my life. Well, I don't know why they wait to visit time cleaning at home."
Unknown Interviewer,00;26;17;03,00;26;31;03,"They just think he's going to last because, I mean, proud of it. They're just getting down on him and telling him to be doing things like saying, you know, if he doesn't see what the rest of the."
Unknown Interviewee,00;26;31;05,00;26;33;05,"Word to his parents, which."
Unknown Interviewer,00;26;33;08,00;26;34;23,"Is Chelsea, Michigan."
Unknown Interviewee,00;26;34;26,00;26;38;05,"Oh, I live in Michigan."
Unknown Interviewer,00;26;38;07,00;26;46;11,You or they go to Florida in the winter is is that right?
Unknown Interviewee,00;26;46;13,00;26;50;12,"Oh, where is, Chelsea, Michigan? Look at."
Unknown Interviewer,00;26;50;15,00;26;51;28,This. This is a promoting and.
Unknown Interviewee,00;26;51;28,00;26;52;28,This is the the.
Unknown Interviewer,00;26;52;28,00;26;59;29,Mitten shape. And then here Detroit itself is right about here. Oh.
Unknown Interviewee,00;27;00;04,00;27;11;05,"I never closed this because if I was in Michigan would like to up to Iron Mountain, which is just across the line, you know, from Wisconsin to Michigan."
Unknown Interviewer,00;27;11;13,00;27;14;01,"So that would be in the Upper Peninsula, right where?"
Unknown Interviewee,00;27;14;01,00;27;24;18,"Up high on the map for her. Since long since I've been back there, that it's kind of hard to."
Unknown Interviewer,00;27;24;20,00;27;44;15,"Where are you? Back left the mountains. We came down here. Well, really? You're good. Oh, my parents are there. I wish they'd come out here so it's easier for me to visit because I didn't want to go back because it's not as crazy anymore. But anyway, what was Potlatch like when you came here?"
Unknown Interviewee,00;27;44;17,00;27;55;05,And Potlatch had all wooden sidewalk here before them. And Potlatch own all these houses here. We had the great within this.
Unknown Interviewer,00;27;55;05,00;27;56;04,And then by the bay.
Unknown Interviewee,00;27;56;09,00;28;19;00,"Yeah. They were kept up a lot better. Yeah. because then they had a crew that went around and painted and paper and cleaned up these people down. So when people moved in, and even if you were living in one and paying rent and your house got pretty dirty, you know, like your walls and stuff, you could go down."
Unknown Interviewer,00;28;19;01,00;28;20;07,There and wash the wall.
Unknown Interviewee,00;28;20;10,00;28;21;24,They'd come and clean.
Unknown Interviewer,00;28;21;27,00;28;33;14,"Oh, well, you work in that the big store? No. You worked in the hotel? The waitress was. So were you working for the factory then? In the that was that privately owned?"
Unknown Interviewee,00;28;33;15,00;28;38;28,It was privately owned. And I had I work down there to take an inventory.
Unknown Interviewer,00;28;39;01,00;28;43;10,We did the release of the factory. The people just built themselves a story.
Unknown Interviewee,00;28;43;11,00;28;46;21,So no Potlatch actually owned that whole town.
Unknown Interviewer,00;28;46;28,00;29;10;13,"Yeah. So then the people that owned it would just be like here a little here became a corner spread right. And we're going to come back in tomorrow if you have time. But yeah, but they have to get a good bird cracking. going to you. Yeah, yeah, yeah. The trees different. Were there tall trees around here then."
Unknown Interviewer,00;29;10;14,00;29;12;11,Are there any trees around here?
Unknown Interviewee,00;29;12;20,00;29;17;19,no. This tree. We just don't like to do it right now. for the trees.
Unknown Interviewer,00;29;17;21,00;29;26;26,How about the view? We do like to preserve virgin timber. Obviously marked off for some people. Favorite field? Some people say timber.
Unknown Interviewee,00;29;26;29,00;29;30;16,"No. When we came in, we should think it's great now. I mean."
Unknown Interviewer,00;29;30;18,00;29;32;14,The all the time here.
Unknown Interviewee,00;29;32;16,00;29;39;22,"The town itself, all kind of. We had all wooden sidewalks in there and buying old, old,"
Unknown Interviewer,00;29;39;24,00;29;42;27,Houses and the picket fences. Or was it only the bears?
Unknown Interviewee,00;29;43;11,00;29;44;29,none of them had food.
Unknown Interviewer,00;29;45;01,00;29;46;09,"Oh, they all met."
Unknown Interviewee,00;29;46;16,00;30;00;08,"When they were. All this was all built for a long. And they were all these long trees. And I don't know how it all got torn up bad, like, you know, like, hunt hunters way down in the hole. Right down. This was all in them?"
Unknown Interviewer,00;30;00;10,00;30;05;19,No.
Unknown Interviewer,00;30;06;15,00;30;10;20,"see, what did you do for recreation when you first came here? They all. We we."
Unknown Interviewee,00;30;10;20,00;30;13;16,"Went to they had a show down here, and."
Unknown Interviewer,00;30;13;16,00;30;19;04,Then we did. Was it an encounter with it as you come into town? Well.
Unknown Interviewee,00;30;19;07,00;30;33;00,"You know that, when you go down, it was right in town. You know, like when you're walking down town, if you went down on Pine Creek, you know, where that kind of a part would come through there."
Unknown Interviewer,00;30;33;00,00;30;36;28,"You got to watch, I know."
Unknown Interviewee,00;30;37;01,00;30;49;22,"On this side of the library or, you know, where the confectionary or you know, on the other side, there's that kind of a long building. You, you couple apartments, you know, where I mean. Yeah."
Unknown Interviewer,00;30;49;22,00;30;51;22,Yeah. Right. Hospital where.
Unknown Interviewee,00;30;51;24,00;30;52;11,No.
Unknown Interviewer,00;30;52;11,00;30;54;14,Cars there to get that.
Unknown Interviewee,00;30;55;25,00;31;14;00,"it's right down across. You're not quite across from the confectionary, but on this side that there's a big apartment, real big. But it's got 2 or 3 apartments in the wider. I don't know what color it is. Now, for trips that used to be a trailer park sitting there. And I think somebody."
Unknown Interviewer,00;31;14;00,00;31;15;27,Moved there on the show to show the.
Unknown Interviewee,00;31;15;27,00;31;21;15,"Show how used to be right beside them. Don't you remember? No, you wouldn't remember it."
Unknown Interviewer,00;31;21;15,00;31;24;03,It burned down. You're right there to work.
Unknown Interviewee,00;31;24;03,00;31;25;26,Toward that old one.
Unknown Interviewer,00;31;25;28,00;31;34;11,"Would it be here with the disappearing stuff? No, they just had shows. It was the movie on the, where we,"
Unknown Interviewee,00;31;34;14,00;31;36;11,And then.
Unknown Interviewer,00;31;36;13,00;31;39;10,Where that that was the.
Unknown Interviewee,00;31;39;12,00;31;42;28,One who might be red is. That house is still there.
Unknown Interviewer,00;31;43;00,00;31;45;28,Go through what looks were.
Unknown Interviewee,00;31;46;01,00;31;46;24,There's a.
Unknown Interviewer,00;31;46;27,00;31;49;00,When you're on high street when you get down there.
Unknown Interviewee,00;31;49;00,00;32;00;21,"So you know on this side of the street there's two little houses. Am I doing the same example? They're kind of along in this and they're, you know, we're we're."
Unknown Interviewer,00;32;00;23,00;32;02;25,We're and then there's.
Unknown Interviewee,00;32;02;25,00;32;07;11,This long one and that's got apartments with about two apartments.
Unknown Interviewee,00;32;09;02,00;32;27;28,"You know, now. Well, it used to be right beside that before you get to the first house, you know, where you cross the road, and then you start out in an over on that side, the construction. But right here, before that first home, right. It was quite a big show."
Unknown Interviewer,00;32;27;29,00;32;29;16,Long us.
